"File","ExecTime_ms","MaxWorking_MB","MaxPrivate_MB","AvgCPU_pct","AsmFile","AsmLines"
"nr_recursive_hs.exe","143,41","1,992","3,039","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","204,66","1,992","3,043","0,65","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","141,97","1,992","3,035","0","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","141,41","1,992","3,035","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","141,9","1,992","3,035","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","142,12","1,992","3,039","0","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","162,35","1,992","3,039","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","167,29","1,992","3,039","1,74","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","170,52","1,992","3,035","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","161,57","1,992","3,039","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","165,68","1,992","3,043","0","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","157,83","1,992","3,039","2,6","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","154,81","1,992","3,039","0","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","143,33","1,992","3,035","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","167,22","4,801","3,895","0","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","160,74","1,992","3,035","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","148,75","1,992","3,035","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","166,81","1,992","3,039","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","160,8","1,992","3,039","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","143,35","1,992","3,035","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","168,41","1,992","3,039","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","142,87","1,992","3,035","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","162,67","1,992","3,039","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","143,97","1,992","3,031","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","142,24","1,992","3,039","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","147","1,992","3,035","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","142,81","1,988","3,035","0","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","141,13","1,992","3,035","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","148,07","1,992","3,043","3,47","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","143,52","1,992","3,035","0","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","139,84","1,988","3,039","0","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","141,13","1,992","3,039","0","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","145,66","1,992","3,035","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","134,83","1,992","3,043","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","140,94","1,992","3,039","2,6","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","145,58","1,992","3,039","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","138,26","1,992","3,035","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","138,82","1,992","3,035","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","151,62","1,992","3,039","2,6","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","136,98","1,992","3,035","1,74","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","164,08","1,988","3,035","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","165,71","1,992","3,039","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","170,8","6,137","14,059","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","162,86","1,992","3,039","1,74","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","159,05","1,992","3,039","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","158,86","1,992","3,039","0,87","o2_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","150,66","1,992","3,047","0","o2_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","140,82","1,992","3,039","0,87","o2_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","143,72","1,992","3,035","0,87","o2_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","144,31","1,992","3,035","0,87","o2_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","161,49","1,992","3,043","0,87","o2_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","175,85","1,992","3,043","0,87","o2_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","156,11","1,992","3,035","0,87","o2_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","160,43","4,062","3,777","0","o2_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","162,97","1,992","3,043","0","o2_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","166,33","1,992","3,035","0,87","o2_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","169,24","1,992","3,043","3,47","o2_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","166,09","1,992","3,039","0,87","o2_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","174,6","4,176","3,824","1,74","o2_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","169,84","3,227","3,523","0,87","o2_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","161,44","1,992","3,039","0,87","o2_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","168,26","4,094","3,781","1,74","o2_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","148,61","1,992","3,039","0","o2_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","159,17","1,992","3,043","0","o2_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","171,62","6,547","14,098","0,87","o2_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","169,8","4,105","3,789","0,87","o2_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","170,47","6,824","14,113","0,87","o2_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","161,48","1,992","3,035","0,87","o2_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","154,35","1,992","3,039","0,87","o2_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","147,67","1,992","3,043","0,87","o2_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","164,98","1,992","3,043","0","o2_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","158,61","1,992","3,043","0","o2_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","157,15","1,992","3,035","0,87","o2_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","161,01","3,328","3,539","0,87","o2_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","148,69","1,992","3,047","0,87","o2_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","161,12","1,992","3,043","0,87","o2_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","146,47","1,992","3,039","0,87","o2_nr_recursive_hs.s","576"
